item_name,item_brand,item_main_category,item_sub_category,Best_Profit_GBP_Per_Item,Best_Profit_Margin_Per_Item
suitcase,U.S. Polo Assn.,Shoes & Bags,Bags,10.0,0.43
boots,Hush Puppies,Shoes & Bags,Shoes,41.2,0.43
tote bag,Lancaster,Shoes & Bags,Bags,37.5,0.43
wrist bag,Love Moschino,Shoes & Bags,Bags,64.0,0.43
brow liner,Clinique,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,8.6,0.43
eyeliner,Clinique,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,8.6,0.43
deodorant,Burberry,Cosmetics & Makeup & Selfcare,Selfcare,4.3,0.43
clutch,Calvin Klein,Shoes & Bags,Bags,23.299999999999997,0.43
body oil,Lancaster,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,12.899999999999999,0.42999999999999994
sneaker,Calvin Klein,Shoes & Bags,Bags,25.799999999999997,0.42999999999999994
coffee machine,Delonghi,Home & Decoration,Home & Decoration,536.7,0.42944444444444441
dress shoes,Hush Puppies,Shoes & Bags,Shoes,32.2,0.42933333333333334
lip pencil,Shiseido,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,7.4,0.42857142857142855
beanie,Nautica,Accessories,Scarves & Winter Hats & Gloves,3.0,0.42857142857142855
duffle bag,Vans,Shoes & Bags,Bags,3.0,0.42857142857142855
beach towel,U.S. Polo Assn.,Beachwear,Beachwear Other,3.5,0.42857142857142855
airfryer,Philips,Home & Decoration,Home & Decoration,74.9,0.42800000000000005
shorts,Wrangler,Bottoms,Shorts,12.100000000000001,0.428
hobo bag,U.S. Polo Assn.,Shoes & Bags,Bags,11.5,0.428
mixer,Philips,Home & Decoration,Home & Decoration,10.7,0.428
epilator,Philips,Home & Decoration,Home & Decoration,77.0,0.42777777777777776
sandals,Pierre Cardin,Shoes & Bags,Shoes,9.9,0.42666666666666669
gloves,Pierre Cardin,Accessories,Scarves & Winter Hats & Gloves,6.4,0.42666666666666669
skirt,U.S. Polo Assn.,Bottoms,Skirts,12.0,0.42666666666666669
pan,Zwilling,Home & Decoration,Home & Decoration,22.0,0.42666666666666669
sports bag,Fossil,Shoes & Bags,Bags,6.4,0.42666666666666669
hooded jumper,Lee,Suits & Tops,Jumpers,6.4,0.42666666666666669
duffle bag,Fossil,Shoes & Bags,Bags,19.2,0.42666666666666664
tote bag,Karl Lagerfeld,Shoes & Bags,Bags,127.69999999999999,0.42608695652173911
backpack,Karl Lagerfeld,Shoes & Bags,Bags,83.4,0.4258064516129032
shin guards,Nike,Accessories,Sports Equipment,3.7,0.42500000000000004
swim cap,adidas,Accessories,Sports Equipment,2.0999999999999996,0.42500000000000004
football,Nike,Accessories,Sports Equipment,8.2,0.42500000000000004
shin guards,adidas,Accessories,Sports Equipment,5.1999999999999993,0.42500000000000004
hat,Hummel,Accessories,Headwear,3.8,0.42500000000000004
